lat,lon,name,operator,opening_hours,,prixDiesel,prixDieselExcellium,prixEssence95,prixEssence98,prixLPG,derniereModification,url
49.2254858,15.8776394,SVA,,,,,,,,,,https://www.mbenzin.cz/
49.6614848,17.1036771,"PapOil, Unčovice","MOL Česká republika, s.r.o.",05:00-22:00,,,,,,,,https://www.mbenzin.cz/
49.5828259,17.2446565,Shell,,Mo-Su 06:00-22:00,,,,,,,,https://www.mbenzin.cz/
49.6807156,17.2253032,BEN-PE,,08:00-20:00,,,,,,,,https://www.mbenzin.cz/
49.7164232,17.0767537,Shell,,,,,,,,,,https://www.mbenzin.cz/
49.6902391,17.0754049,Avia,,Mo-Fr 06:00-20:00; Sa-Su 07:00-20:00,,,,,,,,https://www.mbenzin.cz/
50.1621963,12.2705575,,,24/7,,,,,,,,https://www.mbenzin.cz/
50.1602387,12.2791055,,,08:00-17:00,,,,,,,,https://www.mbenzin.cz/
50.1716226,12.3146707,RoBiN OIL Vojtanov,RoBiN OIL s.r.o.,24/7,,,,,,,,https://www.mbenzin.cz/
48.8538727,16.5984081,Avia,,Mo-Su 06:00-21:00,,,,,,,,https://www.mbenzin.cz/
50.0343610,14.4446316,RS Petrol,"RS Petrol, s.r.o.",24/7,,,,,,,,https://www.mbenzin.cz/
49.8216250,14.3859574,Warman,"Warman, s.r.o.",Mo-Su 06:00-21:00,,,,,,,,https://www.mbenzin.cz/
49.6675132,17.3047421,"Eurobit, Bohuňovice",EUROBIT - čerpací stanice s.r.o.,24/7,,,,,,,,https://www.mbenzin.cz/
49.7247537,17.2850409,Avia Šternberk,ALBEVA MORAVA s.r.o.,"Mo-Fr 04:30-22:30; Sa,Su 05:30-21:30",,,,,,,,https://www.mbenzin.cz/
49.7439745,13.5812962,"MOL, Rokycany","MOL Česká republika, s.r.o.",24/7,,,,,,,,https://www.mbenzin.cz/
50.1274567,12.3581804,MOL,MOL Česká republika,Mo-Su 05:30-22:00,,,,,,,,https://www.mbenzin.cz/
50.0859028,12.4034173,Schnell,,,,,,,,,,https://www.mbenzin.cz/
50.2273218,12.7450861,"KM-Prona, Chodov u Sokolova","KM - PRONA, a.s.",24/7,,,,,,,,https://www.mbenzin.cz/
50.2329413,12.8677549,"OMV KV, Pobřežní","OMV Česká republika, s.r.o.",24/7,,,,,,,,https://www.mbenzin.cz/
50.2544122,12.4067839,Luby,,,,,,,,,,https://www.mbenzin.cz/
50.1762520,12.6781863,OMV,"OMV Česká republika, s.r.o.",24/7,,,,,,,,https://www.mbenzin.cz/
50.0838918,12.3703908,Shell,,24/7,,,,,,,,https://www.mbenzin.cz/
50.0466756,12.3501286,"MOL, Cheb Svatý Kříž","MOL Česká republika, s.r.o.",24/7,,,,,,,,https://www.mbenzin.cz/
50.1225014,12.3684521,Orlen,Orlen Unipetrol RPA,24/7,,,,,,,,https://www.mbenzin.cz/
50.0412422,12.3411659,,,,,,,,,,,https://www.mbenzin.cz/
49.7231328,13.3543450,"Benzina Plzeň, Bory","Benzina, s.r.o.",05:00-22:00,,,,,,,,https://www.mbenzin.cz/
49.8522624,13.8676802,"MOL, Záluží - D5 to PRG","MOL Česká republika, s.r.o.",24/7,,,,,,,,https://www.mbenzin.cz/
50.4580367,13.3883901,Orlen,"Orlen Unipetrol RPA s.r.o. - Benzina, odštěpný závod",Mo-Su 05:00-24:00,,,,,,,,https://www.mbenzin.cz/
50.0847771,12.4487169,EuroOil Cheb,"Čepro, a.s.",Mar-Oct 06:00-22:00;Nov-Feb 06:00-21:00,,,,,,,,https://www.mbenzin.cz/
